Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,5
ABC transporters - Pseudomonas syringae pv. tomato DC3000,1
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",9
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,5
Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,1
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,5
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,2
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,31
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,46
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,72
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,2
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,2
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,3
Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,1
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,2
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,4
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,3
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,4
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,6
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",1
Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,6
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,14
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,137
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,13
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,3
Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,1
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,2
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,2
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,2
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",8
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,7
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,13
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,12
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,1
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,10
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,4
Two-component system - Pseudomonas syringae pv. tomato DC3000,1
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",5
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
