,Pathway,Gene,supergroup
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,3,Fatty Acid Metabolism
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,3,Transport
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",5,Amino Acid Metabolism
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,3,Nucleotide Metabolism
5,Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,22,tRNA Synthesis
6,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,3,Amino Acid Metabolism
7,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,3,Amino Acid Metabolism
8,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds
9,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,18,Amino Acid Metabolism
10,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,43,Antibiotic Metabolism
11,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,58,Metabolism of Secondary Metabolites
12,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
13,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism
14,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,4,Metabolism of Secondary Metabolites
15,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
16,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism
17,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,6,Amino Acid Metabolism
18,DNA replication - Pseudomonas syringae pv. tomato DC3000,6,Nucleic Acid Maintenance
19,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds
20,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Fatty Acid Metabolism
21,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,6,Fatty Acid Metabolism
22,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Cofactor Metabolism
23,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,1,Carbohydrate Metabolism
24,Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites
25,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism
26,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,1,Glycerolipid Metabolism
27,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Glycerolipid Metabolism
28,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",2,Amino Acid Metabolism
29,Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance
30,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17,Virulence
31,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
33,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,10,Metabolism in Diverse Environments
34,Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance
35,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,7,Cofactor Metabolism
36,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism
37,Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance
38,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
39,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,10,Fatty Acid Metabolism
40,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
41,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",12,Amino Acid Metabolism
42,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
43,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,25,Metabolism of Aromatic Compounds
44,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Nucleotide Metabolism
45,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Nucleotide Metabolism
46,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1,Core Metabolism
47,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1,Interaction with the Environment
48,RNA degradation - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance
49,RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3,Nucleic Acid Maintenance
50,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
51,Ribosome - Pseudomonas syringae pv. tomato DC3000,49,Protein Biosynthesis
52,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites
53,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
54,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1,Sulfur Metabolism
55,Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,1,Fatty Acid Metabolism
56,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,9,Metabolism of Secondary Metabolites
57,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism
58,Two-component system - Pseudomonas syringae pv. tomato DC3000,1,Regulation
59,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
60,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
61,"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",3,Amino Acid Metabolism
62,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",6,Amino Acid Metabolism
63,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
