Pathway,Genes,Type
2-Oxocarboxylic acid metabolism,24,Carbohydrate Metabolism
ABC transporters,178,Transport
Acarbose and validamycin biosynthesis,2,Antibiotic Metabolism
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",4,Nucleotide Metabolism
"Alanine, aspartate and glutamate metabolism",19,Amino Acid Metabolism
alpha-Linolenic acid metabolism,1,Fatty Acid  Metabolism
Amino sugar and nucleotide sugar metabolism,22,Nucleotide Metabolism
Aminoacyl-tRNA biosynthesis,23,Amino Acid Metabolism
Aminobenzoate degradation,9,Amino Acid Metabolism
Arachidonic acid metabolism,3,Fatty Acid  Metabolism
Arginine and proline metabolism,20,Amino Acid Metabolism
Arginine biosynthesis,20,Amino Acid Metabolism
"Arginine biosynthesis, ornithine => arginine",3,Amino Acid Metabolism
Ascorbate and aldarate metabolism,12,Carbohydrate Metabolism
"Assimilatory sulfate reduction, sulfate => H2S",4,Sulfur Metabolism
Atrazine degradation,5,Nitrogen Metabolism
Bacterial chemotaxis,57,Interaction with the Environment
Bacterial secretion system,42,Virulence
Base excision repair,11,Nucleic Acid Maintainance
Benzoate degradation,18,Carbohydrate Metabolism
beta-Alanine metabolism,14,Amino Acid Metabolism
beta-Lactam resistance,9,Antibiotic Metabolism
beta-Oxidation,7,Fatty Acid  Metabolism
"beta-Oxidation, acyl-CoA synthesis",2,Fatty Acid  Metabolism
"Betaine biosynthesis, choline => betaine",2,Plant Metabolite Degredation
Biofilm formation - Pseudomonas aeruginosa,49,Interaction with the Environment
Biosynthesis of amino acids,96,Amino Acid Metabolism
Biosynthesis of antibiotics,177,Antibiotic Metabolism
Biosynthesis of secondary metabolites,242,Secondary Metabolite Metabolism
Biosynthesis of secondary metabolites - other antibiotics,3,Antibiotic Metabolism
Biosynthesis of secondary metabolites - unclassified,2,Secondary Metabolite Metabolism
Biosynthesis of siderophore group nonribosomal peptides,7,Iron Metabolism
Biosynthesis of unsaturated fatty acids,1,Fatty Acid  Metabolism
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",3,Cofactor Metabolism
Biotin metabolism,15,Cofactor Metabolism
Butanoate metabolism,26,Carbohydrate Metabolism
C5-Branched dibasic acid metabolism,7,Carbohydrate Metabolism
Caprolactam degradation,7,Antibiotic Metabolism
Carbapenem biosynthesis,1,Antibiotic Metabolism
Carbon metabolism,85,Carbon Metabolism
Cationic antimicrobial peptide (CAMP) resistance,11,Antibiotic Metabolism
Chloroalkane and chloroalkene degradation,7,Carbon Metabolism
