Pathway,Genes,Type
2-Oxocarboxylic acid metabolism,23,Carbohydrate Metabolism
ABC transporters,67,Transport
Acarbose and validamycin biosynthesis,3,Antibiotic Metabolism
"Adenine ribonucleotide biosynthesis, IMP => ADP,ATP",5,Nucleotide Metabolism
"Alanine, aspartate and glutamate metabolism",26,Amino Acid Metabolism
alpha-Linolenic acid metabolism,1,Fatty Acid Metabolism
Amino sugar and nucleotide sugar metabolism,20,Nucleotide Metabolism
Aminoacyl-tRNA biosynthesis,23,Amino Acid Metabolism
Arachidonic acid metabolism,3,Fatty Acid Metabolism
Arginine and proline metabolism,20,Amino Acid Metabolism
Arginine biosynthesis,22,Amino Acid Metabolism
"Arginine biosynthesis, ornithine => arginine",3,Amino Acid Metabolism
Ascorbate and aldarate metabolism,12,Carbohydrate Metabolism
"Assimilatory sulfate reduction, sulfate => H2S",5,Sulfur Metabolism
Atrazine degradation,8,Triazine Metabolism
Bacterial chemotaxis,6,Interaction with the Environment
Benzoate degradation,14,Carbohydrate Metabolism
beta-Alanine metabolism,8,Amino Acid Metabolism
beta-Lactam resistance,1,Antibiotic Metabolism
beta-Oxidation,2,Fatty Acid Metabolism
"beta-Oxidation, acyl-CoA synthesis",2,Fatty Acid Metabolism
"Betaine biosynthesis, choline => betaine",2,Plant Metabolite Metabolism
Biofilm formation - Pseudomonas aeruginosa,6,Interaction with the Environment
Biosynthesis of amino acids,111,Amino Acid Metabolism
Biosynthesis of antibiotics,186,Antibiotic Metabolism
Biosynthesis of secondary metabolites,241,Secondary Metabolites Metabolism
Biosynthesis of secondary metabolites - unclassified,1,Secondary Metabolites Metabolism
Biosynthesis of siderophore group nonribosomal peptides,2,Iron Metabolism
"Biotin biosynthesis, pimeloyl-ACP/CoA => biotin",4,Cofactor Metabolism
Biotin metabolism,10,Cofactor Metabolism
Butanoate metabolism,20,Carbohydrate Metabolism
C5-Branched dibasic acid metabolism,7,Carbohydrate Metabolism
Caprolactam degradation,3,Antibiotic Metabolism
Carbapenem biosynthesis,2,Antibiotic Metabolism
Carbon metabolism,93,Carbon Metabolism
Cationic antimicrobial peptide (CAMP) resistance,4,Antibiotic Metabolism
Chloroalkane and chloroalkene degradation,4,Carbon Metabolism
"Citrate cycle (TCA cycle, Krebs cycle)",17,Core Metabolism
Citrate cycle (TCA cycle),22,Core Metabolism
"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate",4,Core Metabolism
"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",13,Core Metabolism
CMP-KDO biosynthesis,3,Nucleotide Metabolism
"Cobalamin biosynthesis, cobinamide => cobalamin",8,Cofactor Metabolism
"Coenzyme A biosynthesis, pantothenate => CoA",4,Cofactor Metabolism
Cyanoamino acid metabolism,8,Amino Acid Metabolism
Cysteine and methionine metabolism,33,Amino Acid Metabolism
"Cysteine biosynthesis, serine => cysteine",3,Amino Acid Metabolism
Cytochrome o ubiquinol oxidase,4,Cofactor Metabolism
D-Alanine metabolism,1,Amino Acid Metabolism
"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",6,Carbohydrate Metabolism
D-Glutamine and D-glutamate metabolism,3,Amino Acid Metabolism
Degradation of aromatic compounds,11,Aromatic Compound Metabolism
"DNA polymerase III complex, bacteria",5,Nucleic Acid Maintanence
DNA replication,7,Nucleic Acid Maintanence
dTDP-L-rhamnose biosynthesis,7,Nucleotide Metabolism
"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate",5,Carbohydrate Metabolism
"F-type ATPase, prokaryotes and chloroplasts",5,Core Metabolism
Fatty acid biosynthesis,15,Fatty Acid Metabolism
