rxn_id,kegg_id,gpr,
rxn00018,R00024,,
rxn03318,(11-hydroxylating),,
rxn35596,1.1.99.25-RXN.c.metaexp.CPD-9956_UBIQUINONE-8,,
rxn05373,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,,
rxn05375,10-methyl-dodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
rxn05398,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,,
rxn05406,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,,
rxn12225,2-OCTAPRENYLPHENOL-HYDROX-RXN,,
rxn10571,3.6.3.2-RXN.ce,,
rxn05149,3.6.3.35-RXN.ce,,
rxn05363,4-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
rxn05433,4-methyl-trans-hex-2-enoyl-ACP:NAD+ oxidoreductase (A-specific),,
rxn05388,5-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
rxn05365,6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,,
rxn05369,8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,,
rxn05394,9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,,
rxn05396,9-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
rxn29982,AACTOOR,,
rxn13211,ACALDCD,,
rxn13659,ACOAD8,,
rxn10769,ADNK4,,
rxn30302,ALAD_L,,
rxn30348,AMID2,,
rxn08131,AMPMS2,,
rxn10266,anteisoheptadecanoyl-Phosphatidylglycerophosphate phosphohydrolase,,
rxn29950,ASNNpp,,
rxn19227,BENZYL-ALCOHOL-DEHYDROGENASE-RXN.c,,
rxn30090,CAR1,,
rxn08231,CLPNS180pp,,
rxn19366,D-ARABINOKINASE-RXN.c,,
rxn12582,D-Glucose 1-phosphate transport via proton symport,,
rxn08291,DAAD,,
rxn36672,DALADEHYDROG-RXN.c.metaexp.CPD-12115_DEMETHYLMENAQUINONE,,
rxn36673,DALADEHYDROG-RXN.c.metaexp.CPD-9956_UBIQUINONE-8,,
rxn30307,DALAOX,,
rxn19443,DARABALDOL-RXN.c,,
rxn19444,DARABISOM-RXN.c,,
rxn19445,DARABKIN-RXN.c,,
rxn08311,DASYN180,,
rxn19453,DEOXYADENPHOSPHOR-RXN.c,,
rxn09460,DESAT14,,
rxn08353,DHHB-METHYLTRANSFER-RXN.c,,
rxn19544,DIHYDROXYISOVALDEHYDRAT-RXN.c,,
rxn19630,DMK-RXN.p,,
rxn11385,ECOAH1,,
rxn30666,FA_Synth,,
rxn09468,FAO181p_even,,
rxn10074,FAO4,,
rxn30478,FAO8,,
rxn09433,FAS160,,
rxn09427,FAS180COA,,
rxn05562,G1Pt6_2,,
rxn05740,GLC3,,
rxn10533,GLCGSD,,
rxn13836,GLCLCT,,
rxn08618,GLCTR1,,
rxn30076,GMPS,,
rxn10791,GTPH1,,
rxn08688,H2SO,,
rxn08709,HEPK2,,
rxn08712,HEPT3,,
rxn11544,HGBAMS,,
rxn30486,HISD1i,,
rxn30032,HMBS,,
rxn10622,HMPK3,,
rxn19903,HOMOSERDEAM-RXN.c,,
rxn19917,HYDROXYMANDELONITRILE-LYASE-RXN.c,,
rxn30488,INOSR,,
rxn33877,JM_Cre_131,,
rxn33900,JM_Cre_182,,
rxn33927,JM_Cre_226,,
rxn33937,JM_Cre_247,,
rxn33838,JM_Cre_3,,
rxn34006,JM_Cre_394,,
rxn34011,JM_Cre_404,,
