Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,22
ABC transporters - Pseudomonas syringae pv. tomato DC3000,58
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",26
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,21
Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,7
Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,8
Arachidonic acid metabolism - Pseudomonas syringae pv. tomato DC3000,3
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,29
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,17
Ascorbate and aldarate metabolism - Pseudomonas syringae pv. tomato DC3000,14
Atrazine degradation - Pseudomonas syringae pv. tomato DC3000,5
Bacterial chemotaxis - Pseudomonas syringae pv. tomato DC3000,1
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,15
Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000,6
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,98
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,183
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,266
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biosynthesis of unsaturated fatty acids - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of various secondary metabolites - part 2 - Pseudomonas syringae pv. tomato DC3000,1
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,11
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,24
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,7
Caprolactam degradation - Pseudomonas syringae pv. tomato DC3000,6
Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,93
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,3
Chloroalkane and chloroalkene degradation - Pseudomonas syringae pv. tomato DC3000,6
Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,23
Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000,7
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,31
D-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,3
D-Glutamine and D-glutamate metabolism - Pseudomonas syringae pv. tomato DC3000,4
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,12
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,21
Fatty acid degradation - Pseudomonas syringae pv. tomato DC3000,16
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,29
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,19
Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000,15
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,13
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,6
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,19
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,9
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,17
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",33
Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,27
Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,29
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,17
Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000,12
Limonene and pinene degradation - Pseudomonas syringae pv. tomato DC3000,7
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,13
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,20
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,582
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,16
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,181
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,7
Naphthalene degradation - Pseudomonas syringae pv. tomato DC3000,2
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,17
Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,12
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,16
Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,8
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,7
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,29
Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,14
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",19
Phosphonate and phosphinate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Phosphotransferase system (PTS) - Pseudomonas syringae pv. tomato DC3000,3
Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000,1
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,32
Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000,27
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,48
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,28
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,37
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,10
RNA degradation - Pseudomonas syringae pv. tomato DC3000,3
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,6
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,8
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,17
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
Styrene degradation - Pseudomonas syringae pv. tomato DC3000,3
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,26
Sulfur relay system - Pseudomonas syringae pv. tomato DC3000,3
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,4
Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10
Toluene degradation - Pseudomonas syringae pv. tomato DC3000,1
Tryptophan metabolism - Pseudomonas syringae pv. tomato DC3000,17
Two-component system - Pseudomonas syringae pv. tomato DC3000,14
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,13
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,11
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",11
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",25
Vancomycin resistance - Pseudomonas syringae pv. tomato DC3000,5
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,6
Xylene degradation - Pseudomonas syringae pv. tomato DC3000,1
alpha-Linolenic acid metabolism - Pseudomonas syringae pv. tomato DC3000,1
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,13
