met_name,met_id,source
L-(+) lactic acid,cpd00159,Anderson
glycolic acid,cpd00139,Anderson
L-alanine,cpd00035,Anderson
3-hydroxypropanoic acid (NIST),cpd00745,Anderson
L-proline,cpd00129,Anderson
dehydroalanine from cysteine*,cpd01495,Anderson
3-hydroxy-3-methylbutanoic acid (3-hydroxyisovaleric acid) (NIST),,Anderson
L-valine,cpd00156,Anderson
urea,cpd00073,Anderson
benzoic acid,cpd00153,Anderson
L-serine,cpd00054,Anderson
phosphoric acid,cpd00009,Anderson
L-threonine,cpd00161,Anderson
nicotinic acid,cpd00218,Anderson
glycine,cpd00033,Anderson
succinic acid,cpd00036,Anderson
glyceric acid,cpd00223,Anderson
porphine,,Anderson
uracil,cpd00092,Anderson
fumaric acid,cpd00106,Anderson
2-methyl-benzoic acid  (NIST),cpd04453,Anderson
"2,4-dihydroxybutanoic acid (NIST)",,Anderson
Beta- alanine,cpd00085,Anderson
D-malic acid,cpd00386,Anderson
D-threitol,cpd17172,Anderson
aspartic acid,cpd00041,Anderson
L-pyroglutamic acid,cpd01293,Anderson
4-guanidinobutyric acid,cpd00762,Anderson
threonic acid (NIST),cpd01138,Anderson
triethanolamine ,cpd04148,Anderson
4-hydroxybenzoic acid,cpd00136,Anderson
D-lyxose,cpd00368,Anderson
xylitol,cpd00306,Anderson
L-(-)-fucose,cpd00751,Anderson
glycerol-3-phosphate,cpd00080,Anderson
2-Keto-l-gluconic acid (NIST),cpd11314,Anderson
shikimic acid,cpd00383,Anderson
citric acid,cpd00137,Anderson
fructose,cpd00082,Anderson
D(+) galactose,cpd00108,Anderson
D-glucose,cpd00027,Anderson
gluconic acid,cpd00222,Anderson
palmitic acid,cpd00214,Anderson
"3,5-dimethoxy-4-hydroxycinnamic acid (sinapinic acid)",cpd00373,Anderson
myo-inositol,cpd00121,Anderson
stearic acid,cpd01080,Anderson
glucosylglycerol (NIST),,Anderson
sucrose,cpd00076,Anderson
