Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,110
ABC transporters - Pseudomonas syringae pv. tomato DC3000,289
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",80
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,81
Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,48
Arachidonic acid metabolism - Pseudomonas syringae pv. tomato DC3000,15
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,72
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,62
Ascorbate and aldarate metabolism - Pseudomonas syringae pv. tomato DC3000,35
Atrazine degradation - Pseudomonas syringae pv. tomato DC3000,20
Bacterial chemotaxis - Pseudomonas syringae pv. tomato DC3000,86
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,91
Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000,32
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,365
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,797
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,1049
Biosynthesis of secondary metabolites - unclassified - Pseudomonas syringae pv. tomato DC3000,25
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,4
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,128
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,124
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,25
Caprolactam degradation - Pseudomonas syringae pv. tomato DC3000,49
Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,380
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,19
Chloroalkane and chloroalkene degradation - Pseudomonas syringae pv. tomato DC3000,32
Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,99
Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000,45
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,118
D-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,3
D-Glutamine and D-glutamate metabolism - Pseudomonas syringae pv. tomato DC3000,8
DNA replication - Pseudomonas syringae pv. tomato DC3000,14
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,46
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,190
Fatty acid degradation - Pseudomonas syringae pv. tomato DC3000,131
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,261
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,67
Fructose and mannose metabolism - Pseudomonas syringae pv. tomato DC3000,70
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,48
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,54
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,82
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,51
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,161
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",152
Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,110
Glyoxylate and dicarboxylate metabolism - Pseudomonas syringae pv. tomato DC3000,117
Histidine metabolism - Pseudomonas syringae pv. tomato DC3000,51
Homologous recombination - Pseudomonas syringae pv. tomato DC3000,14
Inositol phosphate metabolism - Pseudomonas syringae pv. tomato DC3000,29
Limonene and pinene degradation - Pseudomonas syringae pv. tomato DC3000,51
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,35
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,49
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,105
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,2332
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,73
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,717
Mismatch repair - Pseudomonas syringae pv. tomato DC3000,14
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,33
Naphthalene degradation - Pseudomonas syringae pv. tomato DC3000,22
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,82
Nitrogen metabolism - Pseudomonas syringae pv. tomato DC3000,31
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,21
Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,2
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,68
Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,97
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,38
Pentose and glucuronate interconversions - Pseudomonas syringae pv. tomato DC3000,19
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,106
Peptidoglycan biosynthesis - Pseudomonas syringae pv. tomato DC3000,26
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,26
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",87
Phosphotransferase system (PTS) - Pseudomonas syringae pv. tomato DC3000,18
Plant-pathogen interaction - Pseudomonas syringae pv. tomato DC3000,6
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,21
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,67
Propanoate metabolism - Pseudomonas syringae pv. tomato DC3000,121
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,208
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,99
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,139
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,154
RNA degradation - Pseudomonas syringae pv. tomato DC3000,6
RNA polymerase - Pseudomonas syringae pv. tomato DC3000,6
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,30
Ribosome - Pseudomonas syringae pv. tomato DC3000,102
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,22
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,83
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,44
Styrene degradation - Pseudomonas syringae pv. tomato DC3000,8
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,102
Sulfur relay system - Pseudomonas syringae pv. tomato DC3000,8
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,29
Taurine and hypotaurine metabolism - Pseudomonas syringae pv. tomato DC3000,18
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,51
