,Pathway,Gene,supergroup,,,,,,
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,22,Fatty Acid Metabolism,,,,,Amino Acid Metabolism,422
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,68,Transport,,,,,Antibiotic Metabolism,211
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism,,,,,Carbohydrate Metabolism,137
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",25,Amino Acid Metabolism,,,,,Cofactor Metabolism,104
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,18,Nucleotide Metabolism,,,,,Core Metabolism,114
5,Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,23,tRNA Synthesis,,,,,Fatty Acid Metabolism,101
6,Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,8,Carbohydrate Metabolism,,,,,Glycerolipid Metabolism,28
7,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,27,Amino Acid Metabolism,,,,,Interaction with the Environment,31
8,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,18,Amino Acid Metabolism,,,,,Metabolism in Diverse Environments,177
9,Ascorbate and aldarate metabolism - Pseudomonas syringae pv. tomato DC3000,11,Cofactor Metabolism,,,,,Metabolism of Aromatic Compounds,66
10,Atrazine degradation - Pseudomonas syringae pv. tomato DC3000,6,Metabolism of Secondary Metabolites,,,,,Metabolism of Secondary Metabolites,308
11,Bacterial chemotaxis - Pseudomonas syringae pv. tomato DC3000,1,Interaction with the Environment,,,,,Nucleic Acid Maintenance,26
12,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,14,Metabolism of Aromatic Compounds,,,,,Nucleotide Metabolism,100
13,Biofilm formation - Pseudomonas aeruginosa - Pseudomonas syringae pv. tomato DC3000,4,Interaction with the Environment,,,,,Protein Biosynthesis,51
14,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,103,Amino Acid Metabolism,,,,,Regulation,14
15,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,174,Antibiotic Metabolism,,,,,Sulfur Metabolism,32
16,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,239,Metabolism of Secondary Metabolites,,,,,Transport,68
17,Biosynthesis of secondary metabolites - unclassified - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites,,,,,tRNA Synthesis,23
18,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism,,,,,Virulence,27
19,Biosynthesis of unsaturated fatty acids - Pseudomonas syringae pv. tomato DC3000,1,Fatty Acid Metabolism,,,,,,
20,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,10,Cofactor Metabolism,,,,,,
21,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,23,Metabolism of Secondary Metabolites,,,,,,
22,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,7,Carbohydrate Metabolism,,,,,,
23,Caprolactam degradation - Pseudomonas syringae pv. tomato DC3000,5,Antibiotic Metabolism,,,,,,
24,Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism,,,,,,
25,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,85,Carbon Metabolism,,,,,,
26,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,3,Antibiotic Metabolism,,,,,,
27,Chloroalkane and chloroalkene degradation - Pseudomonas syringae pv. tomato DC3000,5,Metabolism of Secondary Metabolites,,,,,,
28,Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,25,Core Metabolism,,,,,,
29,Cyanoamino acid metabolism - Pseudomonas syringae pv. tomato DC3000,8,Amino Acid Metabolism,,,,,,
30,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,32,Amino Acid Metabolism,,,,,,
31,D-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,3,Amino Acid Metabolism,,,,,,
32,D-Glutamine and D-glutamate metabolism - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism,,,,,,
33,DNA replication - Pseudomonas syringae pv. tomato DC3000,6,Nucleic Acid Maintenance,,,,,,
34,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,8,Metabolism of Aromatic Compounds,,,,,,
35,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,18,Fatty Acid Metabolism,,,,,,
36,Fatty acid degradation - Pseudomonas syringae pv. tomato DC3000,15,Fatty Acid Metabolism,,,,,,
37,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,26,Fatty Acid Metabolism,,,,,,
38,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,16,Cofactor Metabolism,,,,,,
