,Pathway,Gene,supergroup
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,15,Fatty Acid Metabolism
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,12,Transport
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",18,
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,9,Nucleotide Metabolism
5,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,7,Amino Acid Metabolism
6,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,18,Amino Acid Metabolism
7,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,4,Metabolism of Aromatic Compounds
8,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,66,Amino Acid Metabolism
9,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,122,Antibiotic Metabolism
10,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,159,Metabolism of Secondary Metabolites
11,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
12,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,6,Cofactor Metabolism
13,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,9,Metabolism of Secondary Metabolites
14,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
15,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,6,Carbon Metabolism
16,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
17,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,28,Amino Acid Metabolism
18,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,4,Metabolism of Aromatic Compounds
19,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,8,Fatty Acid Metabolism
20,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,8,Fatty Acid Metabolism
21,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,12,Cofactor Metabolism
22,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
23,Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,3,Metabolism of Secondary Metabolites
24,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,9,Amino Acid Metabolism
25,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2,Glycerolipid Metabolism
26,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,10,Glycerolipid Metabolism
27,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",10,Amino Acid Metabolism
28,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,34,Virulence
29,Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Amino Acid Metabolism
30,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,2,Amino Acid Metabolism
31,Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,352,
32,Methane metabolism - Pseudomonas syringae pv. tomato DC3000,3,Carbon Metabolism
33,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,32,Metabolism in Diverse Environments
34,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,14,Cofactor Metabolism
35,Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,3,Antibiotic Metabolism
36,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,10,Cofactor Metabolism
37,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,20,Fatty Acid Metabolism
38,Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,3,Carbohydrate Metabolism
39,Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,3,Amino Acid Metabolism
