Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,12
ABC transporters - Pseudomonas syringae pv. tomato DC3000,10
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",14
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,8
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,6
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,4
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,52
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,107
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,141
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,4
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,6
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,8
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,4
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,4
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,2
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,23
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,4
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,8
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,12
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,2
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,8
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,10
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",9
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,34
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,5
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,2
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,322
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,2
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,29
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,12
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,8
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,20
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,2
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,2
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",24
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,48
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,26
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,24
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,2
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2
RNA degradation - Pseudomonas syringae pv. tomato DC3000,2
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,2
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,10
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,2
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,10
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,4
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",6
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",12
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,9
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,2
