Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,27
ABC transporters - Pseudomonas syringae pv. tomato DC3000,20
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",31
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,17
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,12
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,28
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,8
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,113
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,221
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,291
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,8
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,12
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,17
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,8
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,10
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,4
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,48
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,8
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,16
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,24
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,4
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,5
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,16
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,4
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,20
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",18
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,68
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,10
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,4
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,659
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,5
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,60
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,24
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,5
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,18
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,40
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,5
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,5
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",49
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,96
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,55
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,48
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,4
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,4
RNA degradation - Pseudomonas syringae pv. tomato DC3000,4
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,16
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,5
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,20
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,5
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,36
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,20
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,9
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,16
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",12
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",28
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,19
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,4
