"1","pst:PSPTO_0001","Two-component system - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1268","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1473","Ribosome - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1476","Ribosome - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1501","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1534","Ribosome - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1549","DNA replication - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1549","Mismatch repair - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1549","Homologous recombination - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0178","One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0178","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_1842","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0184","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0185","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0002","DNA replication - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0002","Mismatch repair - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_0002","Homologous recombination - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2166","Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2166","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2166","Metabolic pathways - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2166","Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2166","Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2378","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2380","Ribosome - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2381","Ribosome - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2382","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_2383","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3345","Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3646","DNA replication - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3646","Mismatch repair - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3646","Homologous recombination - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3721","Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3721","Biotin metabolism - Pseudomonas syringae pv. tomato DC3000"
"1","pst:PSPTO_3721","Metabolic pathways - Pseudomonas syringae pv. tomato DC3000"
