Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,15
ABC transporters - Pseudomonas syringae pv. tomato DC3000,9
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",16
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,6
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,7
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,18
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,4
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,65
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,113
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,146
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,4
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,4
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,9
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,4
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,6
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,2
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,27
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,4
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,5
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,5
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,3
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,8
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,2
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,8
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",10
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,23
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,2
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,300
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,3
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,28
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,11
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,3
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,9
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,19
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,3
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,3
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",26
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,36
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,29
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,25
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,2
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,2
RNA degradation - Pseudomonas syringae pv. tomato DC3000,1
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,8
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,3
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,8
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,13
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,3
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,19
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,8
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",6
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",15
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,12
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,2
