,Pathway,Gene,supergroup
0,ABC transporters - Pseudomonas syringae pv. tomato DC3000,3,Transport
1,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
2,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",1,Amino Acid Metabolism
3,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,3,Nucleotide Metabolism
4,Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,22,tRNA Synthesis
5,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds
6,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,5,Amino Acid Metabolism
7,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,23,Antibiotic Metabolism
8,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,35,Metabolism of Secondary Metabolites
9,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
10,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism
11,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites
12,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism
13,DNA replication - Pseudomonas syringae pv. tomato DC3000,6,Nucleic Acid Maintenance
14,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds
15,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Fatty Acid Metabolism
16,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,6,Fatty Acid Metabolism
17,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Cofactor Metabolism
18,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,1,Carbohydrate Metabolism
19,Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,1,Glycerolipid Metabolism
20,Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Glycerolipid Metabolism
21,"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",2,Amino Acid Metabolism
22,Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance
23,Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,14,Virulence
24,Lysine degradation - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
26,Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,10,Metabolism in Diverse Environments
27,Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7,Nucleic Acid Maintenance
28,Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
29,Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance
30,One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
31,Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,6,Fatty Acid Metabolism
32,"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",5,Amino Acid Metabolism
33,Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Carbohydrate Metabolism
34,Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,25,Metabolism of Aromatic Compounds
35,Purine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Nucleotide Metabolism
36,Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,2,Nucleotide Metabolism
37,Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1,Core Metabolism
38,Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1,Interaction with the Environment
39,RNA degradation - Pseudomonas syringae pv. tomato DC3000,1,Nucleic Acid Maintenance
40,RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3,Nucleic Acid Maintenance
41,Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
42,Ribosome - Pseudomonas syringae pv. tomato DC3000,49,Protein Biosynthesis
43,Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Secondary Metabolites
44,Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Antibiotic Metabolism
45,Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,1,Sulfur Metabolism
46,Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,3,Metabolism of Secondary Metabolites
47,Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5,Cofactor Metabolism
48,Two-component system - Pseudomonas syringae pv. tomato DC3000,1,Regulation
49,Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
50,Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
51,"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",1,Amino Acid Metabolism
52,beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
