,Pathway,Gene,supergroup
0,2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,5,Fatty Acid Metabolism
1,ABC transporters - Pseudomonas syringae pv. tomato DC3000,1,Transport
2,Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2,Antibiotic Metabolism
3,"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",8,Amino Acid Metabolism
4,Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,5,Nucleotide Metabolism
5,Aminobenzoate degradation - Pseudomonas syringae pv. tomato DC3000,1,Metabolism of Aromatic Compounds
6,Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,5,Amino Acid Metabolism
7,Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,3,Amino Acid Metabolism
8,Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,2,Metabolism of Aromatic Compounds
9,Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,30,Amino Acid Metabolism
10,Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,46,Antibiotic Metabolism
11,Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,72,Metabolism of Secondary Metabolites
12,Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
13,Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,2,Cofactor Metabolism
14,Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,2,Metabolism of Secondary Metabolites
15,C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,3,Carbohydrate Metabolism
16,Carbapenem biosynthesis - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism
17,Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbon Metabolism
18,Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1,Antibiotic Metabolism
19,Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,4,Amino Acid Metabolism
20,Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,3,Metabolism of Aromatic Compounds
21,Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Fatty Acid Metabolism
22,Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,4,Fatty Acid Metabolism
23,Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,4,Cofactor Metabolism
24,Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,2,Carbohydrate Metabolism
25,Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,1,Amino Acid Metabolism
