,0,12,24,36,48,60
Neg,0.0662,0.1116,0.1151,0.1073,0.1134,0.1646
Neg,0.0633,0.121,0.1626,0.1218,0.1097,0.1133
D-Serine,0.0707,0.0957,0.0955,0.0904,0.0864,0.0782
D-Glucose-6-Phosphate,0.0727,0.1129,0.1152,0.106,0.1033,0.0866
L-Asparagine,0.0683,0.297,0.4971,0.4212,0.4646,0.3534
L-Glutamine,0.0656,0.4284,0.7007,0.5858,0.5402,0.6856
Glycyl-L-Aspartic Acid,0.071,0.1084,0.1112,0.1082,0.1025,0.1154
Glycyl-L-Glutamic Acid,0.0734,0.1255,0.1796,0.1954,0.2666,0.2646
Glycyl-L-Proline,0.0661,0.1083,0.1202,0.125,0.1001,0.0925
L-Arabinose,0.0701,0.1923,0.4652,0.5178,0.5384,0.5901
D-Sorbitol,0.0712,0.1188,0.1491,0.2135,0.2382,0.239
D-Galactonic Acid-gamma-Lactone,0.0698,0.2894,0.5923,0.6435,0.5762,0.5222
D-Aspartic Acid,0.0676,0.1026,0.1075,0.1007,0.1055,0.0964
m-Tartaric Acid,0.0676,0.125,0.2367,0.2946,0.2901,0.2551
Citric Acid,0.0671,0.3908,0.4459,0.3688,0.3274,0.2866
Tricarboxylic Acid,0.0668,0.1017,0.105,0.0955,0.0922,0.0904
p-Hydroxy Phenyl Acetic Acid,0.0716,0.0945,0.0993,0.0956,0.0921,0.0902
N-Acetyl-D-Glucosamine,0.0667,0.112,0.1115,0.0978,0.1082,0.0879
Glycerol,0.0657,0.2444,0.3302,0.3318,0.328,0.3537
"D,L-Malic Acid",0.073,0.3916,0.5446,0.4626,0.3984,0.3358
D-Glucosaminic Acid,0.0679,0.1132,0.1444,0.2001,0.2968,0.3696
D-Glucose-1-Phoshate,0.0747,0.1121,0.1101,0.0946,0.1228,0.1218
m-Inositol,0.0709,0.2259,0.4969,0.6528,0.7041,0.7489
L-Serine,0.0686,0.3652,0.4972,0.427,0.4037,0.3503
m-Hydroxy Phenyl Acetic Acid,0.0717,0.0917,0.095,0.0911,0.0963,0.0987
D-Saccharic Acid,0.0674,0.3157,0.4904,0.4314,0.3912,0.3785
L-Fructose,0.0691,0.1084,0.1116,0.1006,0.1026,0.0888
D-Ribose,0.0714,0.1405,0.2778,0.4352,0.45,0.442
"1,2-Propanediol",0.0722,0.1144,0.1157,0.1089,0.1191,0.118
D-Fructose-6-Phosphate,0.0707,0.0983,0.1042,0.1014,0.091,0.0835
D-Threonine,0.0681,0.0986,0.0948,0.0877,0.0793,0.0722
L-Threonine,0.07,0.0953,0.1067,0.1142,0.1158,0.1131
Tyramine,0.0681,0.0906,0.0961,0.0931,0.0843,0.0799
Succinic Acid,0.0937,0.3883,0.3904,0.3551,0.3376,0.3144
D-Glucuronic Acid,0.0668,0.1404,0.4018,0.449,0.4061,0.363
Tween 20,0.0698,0.1705,0.2149,0.2599,0.2406,0.1949
Tween 40,0.0768,0.1752,0.1974,0.2008,0.2,0.163
Tween 80,0.0724,0.1707,0.1996,0.1935,0.1746,0.132
Fumaric Acid,0.066,0.3978,0.437,0.3602,0.3217,0.2909
L-Alanine,0.0666,0.1779,0.4376,0.521,0.5054,0.436
D-Psicose,0.0686,0.1417,0.1469,0.1504,0.126,0.1088
D-Galactose,0.0729,0.2302,0.5346,0.6108,0.6231,0.6536
D-Gluconic Acid,0.0744,0.3196,0.5012,0.476,0.4251,0.3995
L-Rhamnose,0.0689,0.1078,0.1078,0.1038,0.1303,0.1133
alpha-Keto-Glutaric Acid,0.0718,0.1328,0.1854,0.2524,0.2631,0.2313
