cor_synth,,
EX_cpd00309_e,,
EX_cpd01092_e,,
reactions without genes,model seed reaction,possible genes
rxn00011_c,pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating),
rxn00037_c,"omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)",
rxn00101_c,Urea amidohydrolase,
rxn00102_c,carbonate hydro-lyase (carbon-dioxide-forming),
rxn00121_c,FAD nucleotidohydrolase,
rxn00134_c,ATP:adenosine 5'-phosphotransferase,
rxn00155_c,pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating),
rxn00160_c,(R)-Malate:NAD+ oxidoreductase (decarboxylating),
rxn00171_c,acetaldehyde:NAD+ oxidoreductase (CoA-acetylating),
rxn00188_c,N-carbamyl-L-glutamate amidohydrolase,
rxn00191_c,L-Alanine:2-oxoglutarate aminotransferase,
rxn00194_c,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming),
rxn00203_c,2-Oxoglutarate carboxy-lyase,
rxn00212_c,UDP-glucose glucophosphohydrolase,
rxn00229_c,(S)-lactate:oxygen 2-oxidoreductase (decarboxylating),
rxn00245_c,"(R,R)-tartrate hydro-lyase (oxaloacetate-forming)",
rxn00251_c,phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming),
rxn00272_c,L-Alanine:glyoxylate aminotransferase,
rxn00279_c,L-aspartate 4-carboxy-lyase (L-alanine-forming),
rxn00315_c,L-Lysine:pyruvate aminotransferase,
rxn00316_c,acetyl-CoA:L-lysine N6-acetyltransferase,
rxn00318_c,N6-acetyl-L-lysine amidohydrolase,
rxn00327_c,(S)-ureidoglycolate amidohydrolase (decarboxylating),
rxn00328_c,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),
rxn00339_c,L-Aspartate:ammonia ligase (ADP-forming),
rxn00342_c,L-Asparagine amidohydrolase,
rxn00346_c,L-aspartate 1-carboxy-lyase (beta-alanine-forming),
rxn00355_c,UTP:alpha-D-galactose-1-phosphate uridylyltransferase,
rxn00393_c,D-Glucose-1-phosphate:riboflavin 5'-phosphotransferase,
rxn00394_c,L-Arginine amidinohydrolase,
rxn00422_c,L-Serine:pyruvate aminotransferase,
rxn00436_c,Thiamin diphosphate phosphohydrolase,
rxn00450_c,L-Methionine:oxygen oxidoreductase (deaminating),
rxn00452_c,S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase,
rxn00454_c,L-Methionine:glyoxylate aminotransferase,
rxn00465_c,L-Citrulline N5-carbamoyldihydrolase,
rxn00467_c,L-Ornithine:2-oxo-acid aminotransferase,
rxn00471_c,L-ornithine ammonia-lyase (cyclizing; L-proline-forming),
rxn00489_c,L-phenylalanine:pyruvate aminotransferase,
rxn00491_c,L-phenylalanine:pyruvate aminotransferase,
rxn00521_c,L-tyrosine phenol-lyase (deaminating; pyruvate-forming),
rxn00533_c,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),
rxn00541_c,L-threonine acetaldehyde-lyase (glycine-forming),
